Juviniles, Adults, Seniles, Total
20,10,10,40
20,20,10,50
40,20,20,80
40,40,20,100
80,8,40,128
16,96,8,120
192,3,96,291
6,38,3,48
77,6,38,122
13,92,6,111
184,15,92,292
31,37,15,83
74,6,37,117
12,15,6,33
29,12,15,57
25,29,12,66
59,25,29,113
49,12,25,86
24,10,12,45
20,24,10,53
47,20,24,90
39,47,20,106
94,47,47,189
94,19,47,160
38,19,19,75
38,8,19,64
15,8,8,30
15,15,8,38
30,15,15,60
30,30,15,75
60,30,30,121
60,12,30,103
24,12,12,48
24,24,12,60
48,24,24,97
48,48,24,121
97,10,48,155
19,19,10,48
39,19,19,77
39,39,19,97
77,39,39,155
77,93,39,209
186,93,93,371
186,37,93,315
74,37,37,148
74,15,37,126
30,15,15,59
30,36,15,80
71,6,36,113
12,14,6,32
28,12,14,55
24,28,12,64
57,24,28,109
47,11,24,83
23,9,11,44
19,23,9,51
46,19,23,87
38,46,19,103
91,8,46,144
15,18,8,41
36,15,18,70
30,36,15,82
73,30,36,140
61,15,30,106
29,12,15,56
24,35,12,71
70,5,35,110
10,14,5,29
28,10,14,52
19,28,10,57
56,19,28,104
39,11,19,70
22,8,11,41
16,22,8,46
45,16,22,83
31,45,16,92
90,31,45,166
62,18,31,111
36,12,18,66
25,7,12,45
14,25,7,46
50,14,25,89
29,50,14,93
100,29,50,178
57,20,29,106
40,11,20,71
23,8,11,42
16,23,8,47
46,16,23,85
32,46,16,94
92,32,46,170
64,18,32,114
37,77,18,132
153,7,77,237
15,31,7,53
61,3,31,95
6,12,3,21
24,6,12,43
12,24,6,42
49,12,24,85
24,49,12,84
98,24,49,170
47,20,24,90
39,9,20,68
19,8,9,36
16,19,8,42
38,16,19,72
31,38,16,85
75,31,38,144
63,15,31,109
30,13,15,58
25,6,13,44
12,25,6,43
50,12,25,87
24,50,12,86
100,24,50,174
48,120,24,193
241,10,120,371
19,48,10,77
96,4,48,148
8,116,4,127
231,2,116,348
3,46,2,51
92,1,46,139
1,18,1,20
37,1,18,57
2,37,1,41
74,2,37,113
5,89,2,96
177,1,89,267
2,213,1,216
426,0,213,639
1,511,0,512
1022,0,511,1533
0,204,0,205
409,0,204,613
0,82,0,82
164,0,82,245
0,196,0,196
392,0,196,589
0,471,0,471
942,0,471,1413
0,188,0,188
377,0,188,565
0,75,0,75
151,0,75,226
0,30,0,30
60,0,30,90
0,60,0,60
121,0,60,181
0,145,0,145
289,0,145,434
0,58,0,58
116,0,58,174
0,23,0,23
46,0,23,69
0,46,0,46
93,0,46,139
0,19,0,19
37,0,19,56
0,37,0,37
74,0,37,111
0,15,0,16
