Juviniles, Adults, Seniles, Total
20,10,10,40
20,20,10,50
40,20,20,80
40,40,20,100
80,40,40,160
80,80,40,200
160,16,80,256
32,32,16,80
64,32,32,128
64,64,32,160
128,64,64,256
128,26,64,218
52,26,26,104
52,10,26,88
20,52,10,82
104,20,52,176
40,104,20,164
208,40,104,352
80,42,40,162
84,16,42,142
32,17,16,65
34,32,17,83
64,34,32,130
68,64,34,166
128,68,64,260
136,154,68,358
308,163,154,625
326,62,163,551
124,65,62,251
130,25,65,220
50,26,25,101
52,10,26,88
20,52,10,82
104,20,52,176
40,104,20,164
208,40,104,352
80,42,40,162
84,16,42,142
32,17,16,65
34,32,17,83
64,34,32,130
68,64,34,166
128,68,64,260
136,154,68,358
308,27,154,489
54,62,27,143
124,11,62,197
22,149,11,182
298,4,149,451
8,60,4,72
120,8,60,188
16,120,8,144
240,16,120,376
32,48,16,96
96,32,48,176
64,96,32,192
192,64,96,352
128,38,64,230
76,26,38,140
52,91,26,169
182,10,91,283
20,36,10,66
72,20,36,128
40,72,20,132
144,40,72,256
80,29,40,149
58,16,29,103
32,12,16,60
24,32,12,68
64,24,32,120
48,64,24,136
128,48,64,240
96,26,48,170
52,115,26,193
230,10,115,355
20,46,10,76
92,20,46,158
40,92,20,152
184,40,92,316
80,221,40,341
442,16,221,679
32,88,16,136
176,6,88,270
12,35,6,53
70,12,35,117
24,70,12,106
140,24,70,234
48,28,24,100
56,48,28,132
96,56,48,200
112,115,56,283
230,134,115,479
268,276,134,678
552,54,276,882
108,662,54,824
1324,22,662,2008
44,1589,22,1655
3178,9,1589,4776
18,636,9,663
1272,22,636,1930
44,1526,22,1592
3052,9,1526,4587
18,3662,9,3689
7324,22,3662,11008
44,8789,22,8855
17578,9,8789,26376
18,3516,9,3543
7032,4,3516,10552
8,1406,4,1418
2812,10,1406,4228
20,3374,10,3404
6748,4,3374,10126
8,1350,4,1362
2700,10,1350,4060
20,540,10,570
1080,24,540,1644
48,1296,24,1368
2592,10,1296,3898
20,518,10,548
1036,4,518,1558
8,207,4,219
414,2,207,623
4,83,2,89
166,4,83,253
8,33,4,45
66,8,33,107
16,66,8,90
132,16,66,214
32,26,16,74
52,32,26,110
64,52,32,148
104,64,52,220
128,21,64,213
42,26,21,89
52,42,26,120
84,52,42,178
104,84,52,240
168,21,84,273
42,34,21,97
68,42,34,144
84,68,42,194
136,84,68,288
168,27,84,279
54,202,27,283
404,11,202,617
22,81,11,114
162,26,81,269
52,194,26,272
388,10,194,592
20,78,10,108
156,4,78,238
8,31,4,43
62,8,31,101
16,62,8,86
124,16,62,202
32,25,16,73
50,32,25,107
