Juviniles, Adults, Seniles, Total
20,10,10,40
20,20,10,50
40,20,20,80
40,40,20,100
80,48,40,168
96,16,48,160
32,19,16,67
38,6,19,64
13,8,6,27
15,13,8,36
26,15,13,54
31,26,15,72
51,31,26,108
61,10,31,102
20,12,10,43
25,20,12,57
41,25,20,86
49,41,25,115
82,10,41,133
20,98,10,128
197,4,98,299
8,39,4,51
79,2,39,120
3,16,2,20
31,3,16,50
6,31,3,41
63,6,31,101
13,75,6,94
151,3,75,229
5,30,3,38
60,5,30,96
10,60,5,75
121,10,60,191
20,24,10,54
48,4,24,77
8,10,4,22
19,8,10,37
16,19,8,43
39,16,19,74
32,39,16,87
77,32,39,148
64,93,32,189
186,77,93,356
155,223,77,455
445,31,223,699
62,89,31,182
178,12,89,280
25,36,12,73
71,5,36,112
10,85,5,100
171,2,85,258
4,34,2,40
68,4,34,107
8,14,4,26
27,8,14,49
16,27,8,51
55,16,27,98
32,55,16,102
109,6,55,170
13,131,6,150
263,3,131,397
5,315,3,323
630,1,315,947
2,126,1,129
252,0,126,379
1,50,0,52
101,0,50,151
0,20,0,21
40,0,20,61
1,40,0,41
81,1,40,122
1,16,1,18
32,1,16,50
3,32,1,36
65,3,32,99
5,65,3,72
129,5,65,199
10,26,5,41
52,10,26,88
21,52,10,83
103,21,52,176
42,124,21,186
248,8,124,380
17,297,8,322
595,20,297,912
40,119,20,179
238,8,119,365
16,48,8,71
95,19,48,162
38,19,19,76
38,8,19,65
15,8,8,31
15,15,8,38
31,15,15,61
30,31,15,76
61,30,31,122
61,12,30,104
24,12,12,49
24,24,12,61
49,24,24,98
