Juviniles, Adults, Seniles, Total
20,10,10,40
20,20,10,50
40,20,20,80
40,40,20,100
80,40,40,160
80,80,40,200
160,48,80,288
96,80,48,224
160,48,80,288
96,128,48,272
256,48,128,432
96,205,48,349
410,58,205,673
116,246,58,420
492,93,246,831
186,246,93,525
492,130,246,868
260,295,130,685
590,182,295,1067
364,354,182,900
708,182,354,1244
364,496,182,1042
992,218,496,1706
436,595,218,1249
1190,349,595,2134
698,595,349,1642
1190,558,595,2343
1116,714,558,2388
1428,893,714,3035
1786,1142,893,3821
2284,893,1142,4319
1786,1142,893,3821
2284,893,1142,4319
1786,1599,893,4278
3198,893,1599,5690
1786,2558,893,5237
5116,1250,2558,8924
2500,4093,1250,7843
8186,2000,4093,14279
4000,6549,2000,12549
13098,2000,6549,21647
4000,7859,2000,13859
15718,3200,7859,26777
6400,11003,3200,20603
22006,3200,11003,36209
6400,11003,3200,20603
22006,4480,11003,37489
8960,11003,4480,24443
22006,4480,11003,37489
8960,15404,4480,28844
30808,4480,15404,50692
8960,15404,4480,28844
30808,4480,15404,50692
8960,21566,4480,35006
43132,4480,21566,69178
8960,30192,4480,43632
60384,5376,30192,95952
10752,42269,5376,58397
84538,7526,42269,134333
15052,50723,7526,73301
101446,10536,50723,162705
21072,71012,10536,102620
142024,16858,71012,229894
33716,113619,16858,164193
227238,20230,113619,361087
40460,159067,20230,219757
318134,32368,159067,509569
64736,254507,32368,351611
509014,32368,254507,795889
64736,305408,32368,402512
610816,51789,305408,968013
103578,366490,51789,521857
732980,51789,366490,1151259
103578,513086,51789,668453
1026172,72505,513086,1611763
145010,615703,72505,833218
1231406,101507,615703,1948616
203014,985125,101507,1289646
1970250,101507,985125,3056882
203014,1182150,101507,1486671
2364300,142110,1182150,3688560
284220,1891440,142110,2317770
3782880,198954,1891440,5873274
397908,3026304,198954,3623166
6052608,278536,3026304,9357448
557072,4236826,278536,5072434
8473652,278536,4236826,12989014
557072,5931556,278536,6767164
11863112,445658,5931556,18240326
891316,9490490,445658,10827464
18980980,713053,9490490,29184523
1426106,9490490,713053,11629649
18980980,855664,9490490,29327134
1711328,11388588,855664,13955580
22777176,855664,11388588,35021428
1711328,11388588,855664,13955580
22777176,1369062,11388588,35534826
2738124,11388588,1369062,15495774
22777176,1369062,11388588,35534826
2738124,13666306,1369062,17773492
