Juviniles, Adults, Seniles, Total
20,10,10,40
20,20,10,50
40,20,20,80
40,40,20,100
80,40,40,160
80,80,40,200
160,64,80,304
128,80,64,272
160,102,80,342
204,96,102,402
192,163,96,451
326,115,163,604
230,196,115,541
392,115,196,703
230,314,115,659
628,184,314,1126
368,314,184,866
628,184,314,1126
368,314,184,866
628,294,314,1236
588,314,294,1196
628,294,314,1236
588,502,294,1384
1004,353,502,1859
706,602,353,1661
1204,424,602,2230
848,602,424,1874
1204,594,602,2400
1188,602,594,2384
1204,832,602,2638
1664,602,832,3098
1204,998,602,2804
1996,722,998,3716
1444,1198,722,3364
2396,722,1198,4316
1444,1198,722,3364
2396,1011,1198,4605
2022,1198,1011,4231
2396,1618,1198,5212
3236,1917,1618,6771
3834,1618,1917,7369
3236,2684,1618,7538
5368,1942,2684,9994
3884,3758,1942,9584
7516,2719,3758,13993
5438,5261,2719,13418
10522,2719,5261,18502
5438,6313,2719,14470
12626,4350,6313,23289
8700,6313,4350,19363
12626,6960,6313,25899
13920,10101,6960,30981
20202,11136,10101,41439
22272,14141,11136,47549
28282,17818,14141,60241
35636,14141,17818,67595
28282,17818,14141,60241
35636,14141,17818,67595
28282,24945,14141,67368
49890,19797,24945,94632
39594,29934,19797,89325
59868,27716,29934,117518
55432,41908,27716,125056
83816,44346,41908,170070
88692,58671,44346,191709
117342,62084,58671,238097
124168,58671,62084,244923
117342,99334,58671,275347
198668,70405,99334,368407
140810,99334,70405,310549
198668,112648,99334,410650
225296,158934,112648,496878
317868,157707,158934,634509
315414,158934,157707,632055
317868,220790,158934,697592
441580,222508,220790,884878
445016,309106,222508,976630
618212,267010,309106,1194328
534020,370927,267010,1171957
741854,427216,370927,1539997
854432,519298,427216,1800946
1038596,427216,519298,1985110
854432,623158,427216,1904806
1246316,598102,623158,2467576
1196204,872421,598102,2666727
1744842,717722,872421,3334985
1435444,872421,717722,3025587
1744842,1148355,872421,3765618
2296710,1221389,1148355,4666454
2442778,1148355,1221389,4812522
2296710,1465667,1148355,4910732
2931334,1837368,1465667,6234369
3674736,1758800,1837368,7270904
3517600,2572315,1758800,7848715
5144630,2110560,2572315,9827505
4221120,4115704,2110560,10447384
8231408,2532672,4115704,14879784
5065344,4115704,2532672,11713720
8231408,2532672,4115704,14879784
5065344,5761986,2532672,13360002
11523972,3545741,5761986,20831699
7091482,5761986,3545741,16399209
11523972,3545741,5761986,20831699
7091482,5761986,3545741,16399209
11523972,4254889,5761986,21540847
8509778,6914383,4254889,19679050
13828766,5105867,6914383,25849016
10211734,6914383,5105867,22231984
13828766,8169387,6914383,28912536
