Juviniles, Adults, Seniles, Total
20,10,10,40
20,20,10,50
40,20,20,80
40,40,20,100
80,40,40,160
80,80,40,200
160,56,80,296
112,128,56,296
256,67,128,451
134,205,67,406
410,67,205,682
134,287,67,488
574,67,287,928
134,459,67,660
918,67,459,1444
134,459,67,660
918,67,459,1444
134,734,67,935
1468,67,734,2269
134,1174,67,1375
2348,107,1174,3629
214,1174,107,1495
2348,171,1174,3693
342,1174,171,1687
2348,239,1174,3761
478,1174,239,1891
2348,287,1174,3809
574,1409,287,2270
2818,459,1409,4686
918,1691,459,3068
3382,643,1691,5716
1286,2367,643,4296
4734,772,2367,7873
1544,3787,772,6103
7574,1081,3787,12442
2162,4544,1081,7787
9088,1297,4544,14929
2594,5453,1297,9344
10906,1816,5453,18175
3632,7634,1816,13082
15268,2179,7634,25081
4358,7634,2179,14171
15268,3051,7634,25953
6102,9161,3051,18314
18322,4271,9161,31754
8542,10993,4271,23806
21986,6834,10993,39813
13668,15390,6834,35892
30780,6834,15390,53004
13668,15390,6834,35892
30780,8201,15390,54371
16402,18468,8201,43071
36936,8201,18468,63605
16402,18468,8201,43071
36936,11481,18468,66885
22962,25855,11481,60298
51710,18370,25855,95935
36740,31026,18370,86136
62052,25718,31026,118796
51436,37231,25718,114385
74462,25718,37231,137411
51436,37231,25718,114385
74462,25718,37231,137411
51436,59570,25718,136724
119140,36005,59570,214715
72010,83398,36005,191413
166796,57608,83398,307802
115216,83398,57608,256222
166796,92173,83398,342367
184346,83398,92173,359917
166796,147477,83398,397671
294954,83398,147477,525829
166796,235963,83398,486157
471926,83398,235963,791287
166796,377541,83398,627735
755082,116757,377541,1249380
233514,453049,116757,803320
906098,140108,453049,1499255
280216,724878,140108,1145202
1449756,196151,724878,2370785
392302,869854,196151,1458307
1739708,196151,869854,2805713
392302,869854,196151,1458307
1739708,313842,869854,2923404
627684,1043825,313842,1985351
2087650,376610,1043825,3508085
753220,1670120,376610,2799950
3340240,602576,1670120,5612936
1205152,2004144,602576,3811872
4008288,843606,2004144,6856038
1687212,2805802,843606,5336620
5611604,1181048,2805802,9598454
2362096,4489283,1181048,8032427
8978566,1181048,4489283,14648897
2362096,5387140,1181048,8930284
10774280,1181048,5387140,17342468
2362096,6464568,1181048,10007712
12929136,1181048,6464568,20574752
2362096,10343309,1181048,13886453
20686618,1653467,10343309,32683394
3306934,16549294,1653467,21509695
33098588,2645547,16549294,52293429
5291094,19859153,2645547,27795794
39718306,3174656,19859153,62752115
6349312,23830984,3174656,33354952
47661968,3809587,23830984,75302539
7619174,28597181,3809587,40025942
57194362,5333422,28597181,91124965
